thread_id	post_id	ade_cui	cui_text	linked_drug
14295	14295_001	0	0	0
14295	14295_002	0	0	0
14295	14295_003	0	0	0
14295	14295_004	16001004	Otalgia	imatinib
14295	14295_005	0	0	0
14297	14297_001	0	0	0
14295	14295_006	420103007	Watery eye	imatinib
14295	14295_007	0	0	0
14219	14219_001	0	0	0
14219	14219_002	0	0	0
14219	14219_003	65124004	Swelling	imatinib
14219	14219_004	422587007	Nausea	imatinib
14293	14293_001	0	0	0
14293	14293_002	0	0	0
14293	14293_003	0	0	0
14293	14293_004	0	0	0
14293	14293_005	0	0	0
14293	14293_006	0	0	0
14293	14293_007	0	0	0
14284	14284_001	0	0	0
14292	14292_001	0	0	0
14292	14292_002	0	0	0
14284	14284_002	0	0	0
14284	14284_003	0	0	0
14284	14284_004	0	0	0
14289	14289_001	0	0	0
14289	14289_002	0	0	0
14289	14289_003	0	0	0
14289	14289_004	0	0	0
14289	14289_005	0	0	0
14289	14289_006	0	0	0
14289	14289_007	0	0	0
14289	14289_008	0	0	0
14289	14289_009	0	0	0
14289	14289_010	0	0	0
14289	14289_011	0	0	0
14284	14284_005	0	0	0
14289	14289_012	0	0	0
14289	14289_013	0	0	0
14289	14289_014	0	0	0
14289	14289_015	0	0	0
14289	14289_016	0	0	0
14289	14289_017	0	0	0
14284	14284_006	0	0	0
14284	14284_007	0	0	0
14285	14285_001	0	0	0
14284	14284_008	373932008	Feels hot	sunitinib
14284	14284_008	38341003	Hypertensive disorder	sunitinib
14284	14284_008	403638003	Palmar-Plantar Erythrodysesthesia	sunitinib
14284	14284_008	47933007	Foot pain	sunitinib
14275	14275_001	56317004	Alopecia	imatinib
14280	14280_001	0	0	0
14275	14275_002	56317004	Alopecia	imatinib
14280	14280_002	0	0	0
14275	14275_003	56317004	Alopecia	imatinib
14281	14281_001	0	0	0
14275	14275_004	56317004	Alopecia	imatinib
14281	14281_002	0	0	0
14281	14281_003	0	0	0
14281	14281_004	0	0	0
14280	14280_003	0	0	0
14268	14268_001	0	0	0
14268	14268_002	224960004	Tired	imatinib
14268	14268_003	224960004	Tired	imatinib
14268	14268_004	224960004	Tired	imatinib
14263	14263_001	0	0	0
14263	14263_002	0	0	0
14270	14270_001	0	0	0
14270	14270_002	0	0	0
14270	14270_003	0	0	0
14270	14270_004	0	0	0
14270	14270_005	129154003	Hematologic neoplasm	imatinib
14270	14270_006	0	0	0
14270	14270_007	0	0	0
14270	14270_008	0	0	0
14270	14270_009	0	0	0
14270	14270_010	0	0	0
14270	14270_011	0	0	0
14278	14278_001	0	0	0
14275	14275_005	14304000	Disorder of thyroid gland	imatinib
14275	14275_005	56317004	Alopecia	imatinib
14275	14275_005	82272006	Common cold	imatinib
14275	14275_005	224960004	Tired	imatinib
14275	14275_006	16386004	Dry skin	imatinib
14275	14275_007	0	0	0
14275	14275_008	5935008	Oral contraception	imatinib
14270	14270_012	0	0	0
14274	14274_001	0	0	0
14274	14274_002	0	0	0
14263	14263_003	0	0	0
14263	14263_004	0	0	0
14257	14257_001	0	0	0
14257	14257_002	0	0	0
14257	14257_003	0	0	0
14257	14257_004	0	0	0
14257	14257_005	0	0	0
14270	14270_013	0	0	0
14268	14268_005	422587007	Nausea	imatinib
14268	14268_005	224960004	Tired	imatinib
14268	14268_006	279039007	Low back pain	imatinib
14263	14263_005	0	0	0
14263	14263_006	0	0	0
14261	14261_001	0	0	0
14261	14261_002	0	0	0
14259	14259_001	0	0	0
14254	14254_001	0	0	0
14257	14257_006	90708001	Kidney disease	imatinib
14257	14257_007	0	0	0
14255	14255_001	0	0	0
14256	14256_001	0	0	0
14254	14254_002	0	0	0
14254	14254_003	0	0	0
14254	14254_004	0	0	0
14254	14254_005	0	0	0
14254	14254_006	0	0	0
14254	14254_007	0	0	0
14255	14255_002	0	0	0
14254	14254_008	0	0	0
14254	14254_009	0	0	0
14254	14254_010	0	0	0
14254	14254_011	0	0	0
14253	14253_001	0	0	0
14253	14253_002	0	0	0
14253	14253_003	0	0	0
14253	14253_004	0	0	0
14253	14253_005	0	0	0
14221	14221_001	449918009	Cramp in lower leg	
14221	14221_002	55300003	Cramp	
14221	14221_003	0	0	0
14253	14253_006	0	0	0
14253	14253_007	0	0	0
14253	14253_008	0	0	0
14253	14253_009	0	0	0
14229	14229_001	0	0	0
14252	14252_001	0	0	0
14229	14229_002	37471005	Extrinsic allergic alveolitis	imatinib
14252	14252_002	0	0	0
14245	14245_001	0	0	0
14245	14245_002	0	0	0
14245	14245_003	0	0	0
14245	14245_004	0	0	0
14245	14245_005	0	0	0
14245	14245_006	0	0	0
14245	14245_007	0	0	0
14245	14245_008	0	0	0
14245	14245_009	0	0	0
14245	14245_010	0	0	0
14203	14203_001	0	0	0
14203	14203_002	271801002	Taste sense altered	imatinib
14245	14245_011	0	0	0
14219	14219_005	0	0	0
14219	14219_006	91019004	Paresthesia	imatinib
14243	14243_001	0	0	0
14243	14243_002	0	0	0
14243	14243_003	0	0	0
14243	14243_004	0	0	0
14241	14241_001	0	0	0
14219	14219_007	0	0	0
14239	14239_001	56317004	Alopecia	imatinib
14239	14239_002	56317004	Alopecia	imatinib
14237	14237_001	0	0	0
14219	14219_008	48167000	Amnesia	imatinib
14219	14219_009	0	0	0
14200	14200_001	0	0	0
14200	14200_002	0	0	0
14235	14235_001	0	0	0
14235	14235_002	0	0	0
14200	14200_003	0	0	0
14200	14200_004	0	0	0
14200	14200_005	16331000	Heartburn	imatinib
14200	14200_005	22253000	Pain	imatinib
14200	14200_005	102608004	Excessive appetite	imatinib
14200	14200_006	161891005	Backache	imatinib
14200	14200_007	0	0	0
14200	14200_008	48532005	Muscle strain	imatinib
14200	14200_009	22253000	Pain	imatinib
14200	14200_010	0	0	0
14200	14200_011	0	0	0
14200	14200_012	45326000	Shoulder pain	imatinib
14233	14233_001	0	0	0
14224	14224_001	0	0	0
14224	14224_002	0	0	0
14232	14232_001	0	0	0
14232	14232_002	0	0	0
14232	14232_003	0	0	0
14232	14232_004	0	0	0
14229	14229_003	371405004	Disorder of eye	imatinib
14229	14229_003	27550009	Vascular disorder	imatinib
14206	14206_001	0	0	0
14221	14221_004	68962001	Muscle pain	
14206	14206_002	0	0	0
14206	14206_003	0	0	0
14206	14206_004	0	0	0
14221	14221_005	0	0	0
14216	14216_001	0	0	0
14221	14221_006	422587007	Nausea	imatinib
14221	14221_007	0	0	0
14221	14221_008	0	0	0
14221	14221_009	0	0	0
14219	14219_010	0	0	0
14214	14214_001	0	0	0
14217	14217_001	0	0	0
14211	14211_001	0	0	0
14211	14211_002	0	0	0
14211	14211_003	0	0	0
14207	14207_001	0	0	0
14207	14207_002	0	0	0
14212	14212_001	0	0	0
14212	14212_002	0	0	0
14211	14211_004	0	0	0
14192	14192_001	0	0	0
14192	14192_002	0	0	0
14192	14192_003	0	0	0
14192	14192_004	0	0	0
14206	14206_005	0	0	0
14206	14206_006	0	0	0
14206	14206_007	0	0	0
14205	14205_001	0	0	0
14205	14205_002	0	0	0
14205	14205_003	0	0	0
14205	14205_004	0	0	0
14206	14206_008	0	0	0
14207	14207_003	0	0	0
14207	14207_004	0	0	0
14207	14207_005	0	0	0
14206	14206_009	0	0	0
14194	14194_001	0	0	0
14194	14194_002	0	0	0
14194	14194_003	0	0	0
14204	14204_001	0	0	0
14204	14204_002	0	0	0
14204	14204_003	0	0	0
14204	14204_004	0	0	0
14204	14204_005	0	0	0
14203	14203_003	0	0	0
14200	14200_013	0	0	0
14200	14200_014	0	0	0
14200	14200_015	0	0	0
14193	14193_001	0	0	0
14193	14193_002	0	0	0
14193	14193_003	0	0	0
14185	14185_001	161873000	Heavy legs	imatinib
14185	14185_001	6077001	Foot-drop	imatinib
14185	14185_002	449918009	Cramp in lower leg	imatinib
14185	14185_003	0	0	0
14198	14198_001	0	0	0
14185	14185_004	55300003	Cramp	imatinib
14185	14185_005	0	0	0
14185	14185_006	0	0	0
14186	14186_001	0	0	0
14185	14185_007	0	0	0
14186	14186_002	0	0	0
14186	14186_003	56317004	Alopecia	imatinib
14186	14186_004	14304000	Disorder of thyroid gland	imatinib
14186	14186_004	56317004	Alopecia	imatinib
14196	14196_001	417163006	Traumatic AND/OR non-traumatic injury	sunitinib
14196	14196_002	0	0	0
14196	14196_003	43339004	Hypokalemia	imatinib
14196	14196_004	0	0	0
14196	14196_005	0	0	0
14196	14196_006	0	0	0
14196	14196_007	0	0	0
14196	14196_008	0	0	0
14196	14196_009	0	0	0
14196	14196_010	0	0	0
14196	14196_011	0	0	0
14195	14195_001	0	0	0
14194	14194_004	0	0	0
14190	14190_001	0	0	0
14189	14189_001	0	0	0
14189	14189_002	10601006	Pain in lower limb	
14193	14193_004	0	0	0
14193	14193_005	0	0	0
14193	14193_006	0	0	0
14192	14192_005	0	0	0
14192	14192_006	162076009	Excessive upper gastrointestinal gas	
14189	14189_003	0	0	0
14189	14189_004	65124004	Swelling	nilotinib
14189	14189_004	62909004	Ectropion	imatinib
14189	14189_004	49563000	Periorbital edema	imatinib
14191	14191_001	0	0	0
14189	14189_005	49563000	Periorbital edema	imatinib
14190	14190_002	0	0	0
14189	14189_006	0	0	0
14189	14189_007	0	0	0
14187	14187_001	0	0	0
14187	14187_002	0	0	0
14187	14187_003	0	0	0
14182	14182_001	0	0	0
14182	14182_002	0	0	0
14182	14182_003	0	0	0
14182	14182_004	0	0	0
14182	14182_005	0	0	0
14182	14182_006	0	0	0
14182	14182_007	0	0	0
14187	14187_004	0	0	0
14182	14182_008	0	0	0
14182	14182_009	0	0	0
14182	14182_010	68962001	Muscle pain	imatinib
14182	14182_011	0	0	0
14182	14182_012	0	0	0
14185	14185_008	0	0	0
14158	14158_001	0	0	0
14158	14158_002	0	0	0
14158	14158_003	0	0	0
14182	14182_013	0	0	0
14182	14182_014	0	0	0
14183	14183_001	0	0	0
14183	14183_002	0	0	0
14182	14182_015	429040005	Ulcer	imatinib
14175	14175_001	0	0	0
14175	14175_002	0	0	0
14175	14175_003	0	0	0
14178	14178_001	0	0	0
14178	14178_002	0	0	0
14175	14175_004	0	0	0
14178	14178_003	0	0	0
14178	14178_004	0	0	0
14175	14175_005	422587007	Nausea	imatinib
14175	14175_005	38341003	Hypertensive disorder	sunitinib
14175	14175_006	0	0	0
14178	14178_005	0	0	0
14178	14178_006	0	0	0
14178	14178_007	0	0	0
14178	14178_008	0	0	0
14175	14175_007	0	0	0
14177	14177_001	0	0	0
14176	14176_001	0	0	0
14176	14176_002	0	0	0
14176	14176_003	0	0	0
